"Sample","Binding.Perc","Weight_mg","Buffer_ml","Spike","Ave_Conc_ug.dL","Final_conc_pg.mg"
"11",71.6,17.5,0.25,0,0.05132,9.53085714285714
"12",30,24.1,0.25,1,0.2728,36.7883817427386
"13",32.1,16.8,0.25,1,0.2477,47.9181547619048
"14",31.8,13.8,0.25,1,0.2504,58.9710144927536
"15",66.2,12,0.06,0,0.06436,4.1834
"16",26.8,23.4,0.06,1,0.3196,10.6533333333333
"18",56,30.8,0.25,0,0.09554,10.0813311688312
"19",24.1,27.9,0.06,1,0.373,10.4279569892473
"21",31.6,28,0.25,1,0.254,29.4821428571429
"22",33,21.5,0.25,1,0.2377,35.9313953488372
"23",60.9,24.6,0.25,0,0.07936,10.4845528455285
"24",64.8,20.4,0.25,0,0.06802,10.8365196078431
"26",37.3,20.2,0.06,0,0.1991,7.6880198019802
"27",46,21.6,0.06,0,0.1393,5.03027777777778
"28",59.5,23.2,0.25,0,0.08397,11.7630387931034
"29",36.2,36.5,0.06,0,0.2072,4.42783561643836
"3",33.9,11,0.06,1,0.2287,16.2169090909091
"30A",28.8,29.6,0.25,1,0.2888,31.7094594594595
"31",51.2,21.2,0.06,0,0.1149,4.22745283018868
"32",50,37.1,0.25,0,0.1197,10.4858490566038
"33",52.3,33.8,0.25,0,0.11,10.5769230769231
"34",51.7,35.5,0.25,0,0.1124,10.2901408450704
"36",53.2,31.2,0.25,0,0.1062,11.0625
"37",36.1,30.8,0.06,0,0.2076,5.2574025974026
"38",32.5,34.7,0.06,0,0.2444,5.49371757925072
"5",72.1,14.4,0.06,0,0.05014,2.71591666666667
"6",34.7,13.7,0.06,1,0.2204,12.5483211678832
"7",30.5,16.4,0.06,1,0.2669,12.6940243902439
"8",77.8,15.3,0.25,0,0.03868,8.21633986928104
"9",30.3,19.2,0.25,1,0.2693,45.5846354166667
