Plate_num,Well,Sample,Category,Subcategory,Person,Order,Num_strands,Weight_mg,Reconst_buffer_ml,Sample_well_ml,Buffer_well_ml,Buffer_tube_ml,Dilution_factor_sample,Spike,Spike_well_ml,Spike_tube_ml,Dilution_factor_spike,Extraction_ratio,Comments,OD,Binding_perc,Conc_pg_ml,Ave_conc_pg_ml,CV_perc,SD,SEM,Std_recovery
9,C1,st1,Std,Std,NA,91,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,3200,2855,19.1,NA,1.6,89.23
9,D1,st1,Std,Std,NA,91,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,3200,3798,15.9,NA,1.6,118.7
9,E1,st2,Std,Std,NA,92,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1600,1538,29.1,NA,0.466,96.14
9,F1,st2,Std,Std,NA,92,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1600,1614,28.1,NA,0.466,100.9
9,G1,st3,Std,Std,NA,93,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,800,822.3,43.4,NA,1.13,102.8
9,H1,st3,Std,Std,NA,93,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,800,753.1,45.7,NA,1.13,94.14
9,A2,st4,Std,Std,NA,94,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,400,417.8,61.1,NA,0.399,104.4
9,B2,st4,Std,Std,NA,94,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,400,431.1,60.3,NA,0.399,107.8
9,C2,st5,Std,Std,NA,95,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,200,155,81.8,NA,2.46,77.5
9,D2,st5,Std,Std,NA,95,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,200,207.2,76.8,NA,2.46,103.6
9,E2,st6,Std,Std,NA,96,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,100,85.44,89,NA,2.53,85.44
9,F2,st6,Std,Std,NA,96,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,100,133.7,83.9,NA,2.53,133.7
9,A3,B0,B0,Ref_values,NA,99,NA,NA,0.05,0,0.05,0,1,0,0,0,0,0,NA,0.79,100,NA,NA,NA,NA,NA,NA
9,B3,B0,B0,Ref_values,NA,99,NA,NA,0.05,0,0.05,0,1,0,0,0,0,0,NA,0.808,100,NA,NA,NA,NA,NA,NA
9,C3,Pool,Pool,Ref_values,NA,90,NA,20,0.22,0.05,0,0,1,0,0,0,0,1.4,NA,0.474,56.8,495.2,495.2,NA,NA,0,NA
9,D3,Pool,Pool,Ref_values,NA,90,NA,20,0.22,0.05,0,0,1,0,0,0,0,1.4,NA,0.45,53.6,559,559,NA,NA,0,NA
9,E3,P10-SPneat,P10-SP,Paloma,NA,2,NA,10,0.22,0.025,0,0,1,1,0.025,0,1,1.4,NA,0.492,59.1,451.6,451.6,NA,NA,0,NA
9,F3,P10-SPneat,P10-SP,Paloma,NA,2,NA,10,0.22,0.025,0,0,1,1,0.025,0,1,1.4,NA,0.474,56.8,495.2,495.2,NA,NA,0,NA
9,G3,P10-SP1:2,P10-SP,Paloma,NA,3,NA,10,0.22,0.025,0,0,2,1,0.025,0,1,1.4,NA,0.566,69,302.2,302.2,NA,NA,0,NA
9,H3,P10-SP1:2,P10-SP,Paloma,NA,3,NA,10,0.22,0.025,0,0,2,1,0.025,0,1,1.4,NA,0.573,69.9,290,290,NA,NA,0,NA
9,A4,P10-SP1:4,P10-SP,Paloma,NA,4,NA,10,0.22,0.025,0,0,4,1,0.025,0,1,1.4,NA,0.608,74.6,232.9,232.9,NA,NA,0,NA
9,B4,P10-SP1:4,P10-SP,Paloma,NA,4,NA,10,0.22,0.025,0,0,4,1,0.025,0,1,1.4,NA,0.604,74.1,239.2,239.2,NA,NA,0,NA
9,D4,P10-SP1:8,P10-SP,Paloma,NA,5,NA,10,0.22,0.025,0,0,8,1,0.025,0,1,1.4,NA,0.439,52.1,590.8,590.8,NA,NA,0,NA
9,E4,P10-SP1:16,P10-SP,Paloma,NA,6,NA,10,0.22,0.025,0,0,16,1,0.025,0,1,1.4,NA,0.617,75.8,219.2,219.2,NA,NA,0,NA
9,F4,P10-SP1:16,P10-SP,Paloma,NA,6,NA,10,0.22,0.025,0,0,16,1,0.025,0,1,1.4,NA,0.628,77.2,202.8,202.8,NA,NA,0,NA
9,G4,P10-SP1:32,P10-SP,Paloma,NA,7,NA,10,0.22,0.025,0,0,32,1,0.025,0,1,1.4,NA,0.625,76.8,207.2,207.2,NA,NA,0,NA
9,H4,P10-SP1:32,P10-SP,Paloma,NA,7,NA,10,0.22,0.025,0,0,32,1,0.025,0,1,1.4,NA,0.632,77.8,197,197,NA,NA,0,NA
9,A5,P20-SPneat,P20-SP,Paloma,NA,14,NA,20,0.22,0.025,0,0,1,1,0.025,0,1,1.4,NA,0.31,34.9,1168,1168,NA,NA,0,NA
9,B5,P20-SPneat,P20-SP,Paloma,NA,14,NA,20,0.22,0.025,0,0,1,1,0.025,0,1,1.4,NA,0.321,36.4,1096,1096,NA,NA,0,NA
9,C5,P20-SP1:2,P20-SP,Paloma,NA,15,NA,20,0.22,0.025,0,0,2,1,0.025,0,1,1.4,NA,0.449,53.4,561.8,561.8,NA,NA,0,NA
9,D5,P20-SP1:2,P20-SP,Paloma,NA,15,NA,20,0.22,0.025,0,0,2,1,0.025,0,1,1.4,NA,0.613,75.2,225.2,225.2,NA,NA,0,NA
